Iteration,DSA-C (p=0.2),DSA-C (p=0.7),DSA-C (p=1.0),MGM,MGM-2
0,16174.755896053503,16174.755896053503,16174.755896053503,16174.755896053503,16174.755896053503
1,15717.298413663986,15337.54835831789,15581.613257794148,16174.755896053503,16174.755896053503
2,15499.431384240097,15480.115629488546,15581.613257794148,15581.613257794148,16174.755896053503
3,15336.964486651268,15547.511169367654,15581.613257794148,15581.613257794148,16174.755896053503
4,15287.799058393126,15574.801367162463,15581.613257794148,15581.613257794148,15581.613257794148
5,15286.352495851992,15578.867503503407,15581.613257794148,15581.613257794148,15581.613257794148
6,15334.3841201524,15578.867503503407,15581.613257794148,15581.613257794148,15581.613257794148
7,15347.406082193529,15578.867503503407,15581.613257794148,15581.613257794148,15581.613257794148
8,15389.87155090859,15574.765783502624,15581.613257794148,15581.613257794148,15581.613257794148
9,15450.377050671696,15574.765783502624,15581.613257794148,15581.613257794148,15581.613257794148
10,15486.873740977288,15574.765783502624,15581.613257794148,15581.613257794148,15581.613257794148
11,15501.644306271166,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
12,15489.899274645788,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
13,15499.872380785597,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
14,15518.311026864458,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
15,15534.345983972893,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
16,15544.12021204142,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
17,15552.195338140165,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
18,15563.373657272996,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
19,15563.373657272996,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
20,15564.776997478395,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
21,15564.776997478395,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
22,15564.776997478395,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
23,15564.776997478395,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
24,15564.776997478395,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
25,15564.776997478395,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
26,15580.3814903966,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
27,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
28,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
29,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
30,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
31,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
32,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
33,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
34,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
35,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
36,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
37,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
38,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
39,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
40,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
41,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
42,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
43,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
44,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
45,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
46,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
47,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
48,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
49,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
50,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148,15581.613257794148
